ID1	ID2	GRM	KING
s8	s77	0.0709	0.0000
s8	s78	0.0782	0.0000
s8	s79	-0.0945	0.0000
s8	s82	0.0734	0.0000
s8	s83	0.0105	0.0000
s8	s84	0.0621	0.0000
s8	s85	0.0094	0.0000
s8	s87	0.0670	0.0000
s8	s91	-0.0575	0.0000
s8	s92	0.0444	0.0000
s8	s93	0.0444	0.0000
s8	s94	-0.0599	0.0000
s8	s95	-0.0131	0.0000
s9	s10	-0.0236	0.0000
s9	s13	-0.0197	0.0000
s9	s14	0.0562	0.0000
s9	s16	0.0014	0.0000
s9	s17	-0.0154	0.0000
s9	s18	-0.0124	0.0000
s9	s19	-0.0094	0.0000
s9	s20	-0.0114	0.0000
s9	s24	-0.0109	0.0000
s9	s26	-0.0163	0.0000
s9	s27	0.5205	0.2510
s9	s28	-0.0652	0.0000
s9	s29	-0.0107	0.0000
s9	s30	0.0062	0.0000
s9	s31	-0.0171	0.0000
s9	s32	0.4701	0.2271
s9	s33	0.0113	0.0000
s9	s34	0.0070	0.0000
s9	s35	-0.0123	0.0000
s9	s36	-0.0117	0.0000
s9	s37	-0.0149	0.0000
s9	s38	-0.0675	0.0000
s9	s41	-0.0185	0.0000
s9	s42	-0.0248	0.0000
s9	s43	-0.0243	0.0000
s9	s46	-0.0239	0.0000
s9	s47	-0.0168	0.0000
s9	s48	-0.0175	0.0000
s9	s49	-0.0713	0.0000
s9	s50	-0.0117	0.0000
s9	s51	-0.0099	0.0000
s9	s52	-0.0088	0.0000
s9	s53	-0.0077	0.0000
s9	s54	0.5248	0.2469
s9	s55	-0.0161	0.0000
s9	s57	-0.0173	0.0000
s9	s58	-0.0121	0.0000
s9	s59	-0.0263	0.0000
s9	s60	-0.0050	0.0000
s9	s61	-0.0246	0.0000
s9	s64	-0.0174	0.0000
s9	s66	-0.0129	0.0000
s9	s67	0.0461	0.0000
s9	s68	0.0467	0.0000
s9	s69	-0.0090	0.0000
s9	s73	0.0496	0.0000
s9	s74	-0.0698	0.0000
s9	s75	-0.0699	0.0000
s9	s76	-0.0124	0.0000
s9	s77	-0.0099	0.0000
s9	s78	-0.0114	0.0000
s9	s79	-0.0694	0.0000
s9	s82	-0.0100	0.0000
s9	s83	-0.0179	0.0000
s9	s84	-0.0159	0.0000
s9	s85	-0.0128	0.0000
s9	s87	-0.0152	0.0000
s9	s91	0.0075	0.0000
s9	s92	-0.0304	0.0000
s9	s93	-0.0305	0.0000
s9	s94	0.0014	0.0000
s9	s95	0.0461	0.0000
s10	s13	0.0084	0.0000
s10	s14	-0.0226	0.0000
s10	s16	-0.0831	0.0000
s10	s17	-0.0070	0.0000
s10	s18	0.0526	0.0000
s10	s19	0.0552	0.0000
s10	s20	0.0522	0.0000
s10	s24	0.0715	0.0000
s10	s26	0.0163	0.0000
s10	s27	-0.0270	0.0000
s10	s28	-0.0912	0.0000
s10	s29	0.0567	0.0000
s10	s30	-0.0817	0.0000
s10	s31	0.0584	0.0000
s10	s32	-0.0251	0.0000
s10	s33	-0.0799	0.0000
s10	s34	-0.0833	0.0000
s10	s35	0.0568	0.0000
s10	s36	0.0612	0.0000
s10	s37	0.0471	0.0000
s10	s38	-0.0889	0.0000
s10	s41	0.0515	0.0000
s10	s42	0.5962	0.2451
s10	s43	0.6027	0.2454
s10	s46	0.6013	0.2452
s10	s47	0.0246	0.0000
s10	s48	0.0130	0.0000
s10	s49	-0.0947	0.0000
s10	s50	0.0251	0.0000
s10	s51	0.0112	0.0000
s10	s52	0.0626	0.0000
s10	s53	0.0791	0.0000
s10	s54	-0.0232	0.0000
s10	s55	0.0539	0.0000
s10	s57	0.0250	0.0000
s10	s58	0.0552	0.0000
s10	s59	0.6023	0.2473
s10	s60	0.0525	0.0000
s10	s61	-0.0286	0.0000
s10	s64	0.0493	0.0000
s10	s66	0.0505	0.0000
s10	s67	-0.0221	0.0000
s10	s68	-0.0197	0.0000
s10	s69	0.0396	0.0000
s10	s73	-0.0228	0.0000
s10	s74	-0.0927	0.0000
s10	s75	-0.0896	0.0000
s10	s76	0.6188	0.2491
s10	s77	0.0565	0.0000
s10	s78	0.0510	0.0000
s10	s79	-0.0924	0.0000
s10	s82	0.0526	0.0000
s10	s83	-0.0080	0.0000
s10	s84	-0.0133	0.0000
s10	s85	-0.0155	0.0000
s10	s87	0.6172	0.2483
s10	s91	-0.0820	0.0000
s10	s92	0.6004	0.2471
s10	s93	0.6004	0.2471
s10	s94	-0.0831	0.0000
s10	s95	-0.0221	0.0000
s13	s14	-0.0092	0.0000
s13	s16	-0.0161	0.0000
s13	s17	0.2129	0.0903
s13	s18	0.0175	0.0000
s13	s19	0.0171	0.0000
s13	s20	0.0172	0.0000
s13	s24	0.0175	0.0000
s13	s26	0.0129	0.0000
s13	s27	-0.0158	0.0000
s13	s28	-0.0844	0.0000
s13	s29	0.0152	0.0000
s13	s30	-0.0146	0.0000
s13	s31	0.0192	0.0000
s13	s32	-0.0124	0.0000
s13	s33	-0.0125	0.0000
s13	s34	-0.0160	0.0000
s13	s35	0.0242	0.0000
s13	s36	0.0174	0.0000
s13	s37	0.0228	0.0000
s13	s38	-0.0868	0.0000
s13	s41	0.0182	0.0000
s13	s42	-0.0013	0.0000
s13	s43	0.0057	0.0000
s13	s46	0.0015	0.0000
s13	s47	0.0114	0.0000
s13	s48	0.0253	0.0000
s13	s49	-0.0877	0.0000
s13	s50	0.5014	0.2535
